 ,GSDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Status,Data Superseded,Superseded by UID No,Test Engine Status,Data corr as Annex 16,Current Engine Status,Current Engine Status Date,HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),HC Number Test,HC Number Eng,HC Dp/Foo Avg (g/kN),HC Dp/Foo Sigma (g/kN),HC Dp/Foo Min (g/kN),HC Dp/Foo Max (g/kN),HC Dp/Foo Characteristic (g/kN),HC Dp/Foo Characteristic (% of Reg limit) ,HC LTO Total mass (g),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),CO Number Test,CO Number Eng,CO Dp/Foo Avg (g/kN),CO Dp/Foo Sigma (g/kN),CO Dp/Foo Min (g/kN),CO Dp/Foo Max (g/KN),CO Dp/Foo Characteristic (g/kN),CO Dp/Foo Characteristic (% of Reg limit) ,CO LTO Total Mass (g),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),NOx Number Test,NOx Number Eng,NOx Dp/Foo Avg (g/kN),NOx Dp/Foo Sigma (g/kN),NOx Dp/Foo Min (g/kN),NOx Dp/Foo Max (g/kN),NOx Dp/Foo Characteristic (g/kN),NOx Dp/Foo Characteristic (% of original standard) ,NOx Dp/Foo Characteristic (% of CAEP/2 standard),NOx Dp/Foo Characteristic (% of CAEP/4 standard),NOx Dp/Foo Characteristic (% of CAEP/6 standard),NOx Dp/Foo Characteristic (% of CAEP/8 standard),NOx Compliance Demonstration §,NOx LTO Total mass (g),SN T/O,SN C/O,SN App,SN Idle,SN Number Test,SN Number Eng,SN Max,SN Sigma,SN Range Min,SN Range Max,SN Characteristic,SN Characteristic (% of Reg limit),Fuel Spec,Fuel H/C Ratio Min,Fuel H/C Ratio Max,Fuel Arom Min (%),Fuel Arom Max (%),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Loads Power Extraction (kW),Loads Power Extraction @Power,Loads Stage Bleed CF (%),Loads Stage Bleed @Power,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Compliance with fuel venting requirements,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
01P17GE213,17,General Electric Company,GEnx-1B76/P2,TAPS,TF,8.6,47.5,349.2,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.04,0.36,3,1,0.4,0.0,0.38,0.43,0.6,3.2,140,0.05,0.09,1.53,13.44,3,1,14.3,0.0,14.2,14.3,17.5,14.8,4980,46.9,26.78,11.78,5.04,3,1,49.4,0.3,49.1,49.7,57.3,42.4,53,56.1,60.9,67.3,2.3.2 e),17251,0.2,0.2,0.4,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.4,Jet A,1.89,1.89,15.4,15.4,2.790,2.262,0.709,0.223,934,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2016AE118/Rev. 0,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
01P17GE214,17,General Electric Company,GEnx-1B76A/P2,TAPS,TF,8.6,47.5,349.2,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.04,0.36,3,1,0.4,0.0,0.38,0.43,0.6,3.2,140,0.05,0.09,1.53,13.44,3,1,14.3,0.0,14.2,14.3,17.5,14.8,4980,46.9,26.78,11.78,5.04,3,1,49.4,0.3,49.1,49.7,57.3,42.4,53,56.1,60.9,67.3,2.3.2 e),17251,0.2,0.2,0.4,0.1,3,1,0.6,0.3,0.4,1.0,0.8,4.4,Jet A,1.89,1.89,15.4,15.4,2.790,2.262,0.709,0.223,934,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2016AE118/Rev. 0,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
01P17GE215,17,General Electric Company,GEnx-2B67/P,TAPS,TF,8.0,43.6,299.8,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.04,0.41,3,1,0.5,0.0,0.48,0.55,0.8,4,154,0.07,0.17,1.78,14.28,3,1,17.4,0.0,17.32,17.36,21.3,18,5201,34.21,21.1,11.11,4.92,3,1,41.7,0.3,41.46,41.98,48.4,38.1,47.6,51.4,56.2,62.6,2.3.2 e),12509,0.5,0.5,0.5,0.5,3,1,0.6,0.3,0.4,1.0,0.7,4,Jet A,1.89,1.89,15.4,15.4,2.453,2.009,0.642,0.219,864,0,All,0,All,98.1,98.5,295.1,298.8,0.01189,0.01439,General Electric Company,"PTO, Ohio",19/06/2012,21/06/2012,Yes,Ref. GE REPORT R2011AE578,Engine S/N 956-101/4,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
21GE185,21,General Electric Company,Passport20-19BB1A,SAC,MTF,5.9,41.4,84.2,C,,,NME,Yes,,,0.01,0.01,0.02,0.04,4,2,0.1,0.0,0.05,0.11,0.1,0.6,7,0.29,0.30,1.22,11.03,4,2,17.2,2.0,15.35,19.86,19.6,16.6,1450,37.60,28.76,14.81,6.55,4,2,63.8,0.5,63.44,64.52,70.2,57.2,71.4,77.6,84.5,94.1,2.3.2 e),5371,0.5,0.4,0.0,0.0,4,2,0.5,0.4,0.1,1,0.6,2.4,Jet A,1.92,1.92,15.4,15.4,0.801,0.657,0.228,0.078,297,0,All,0,All,96.7,99.1,285.3,294.3,0.0044,0.0104,General Electric Company,"PTO, Ohio",20/10/2015,23/05/2017,Yes,Ref. GE Aviation Report P20-2017-MT-019_R-3400.00/Rev. 0,Engine S/N 904-010/01 and S/N 904-114/01,SMOKE NUMBER for each LTO mode is average of interpolated values from curve fit for each test run,AVERAGE SN (MAX) is average of maximum smoke number between 7% and 100% F00 for each test run,,,,
01P14HN011,14,Honeywell,AS907-2-1A (HTF7350),SABER-1,MTF,4.2,22.9,33.0,C,,,DTEPS,Yes,,,0.05,0.06,0.12,1,10,3,2.5,0.5,1.89,3.49,2.9,14.6,81,0.58,0.59,5.98,30.9,10,3,75.6,3.8,69.73,80.58,81.7,69.2,2501,18.79,16.64,9.03,3.98,10,3,45.5,2.3,39.57,47.26,48.2,56.2,70.2,71.6,72.3,76.9,2.3.2 e),1503,13.6,10.6,0.8,1.6,10,3,13.6,1.6,9,13.6,15,46.6,Jet A,1.87,1.89,16.9,20.5,0.373,0.309,0.107,0.048,157,0,,0,,96.4,97.6,296,313,0.0013,0.0125,Honeywell,"Phoenix, AZ",07/04/2010,29/07/2010,Yes,Reference: Honeywell Report 21-14930(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-2-1A Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P11HN012,11,Honeywell,AS907-2-1G (HTF7250G),SABER-1,MTF,4.2,22.6,32.9,C,,,DTEPS,Yes,,,0.05,0.06,0.12,0.99,10,3,2.5,0.5,1.82,3.24,2.9,15,82,0.57,0.6,6.07,30.48,10,3,76.7,4.3,70.64,82.76,83.5,70.7,2519,18.43,16.44,8.96,3.97,10,3,45.3,2.3,39.59,47.27,48.1,63.2,70.6,72,72.7,77.3,2.3.2 d),1490,13.6,10.6,0.8,1.8,10,3,13.6,1.5,9.2,13.6,15,46.6,Jet A,1.87,1.89,16.9,20.5,0.372,0.308,0.107,0.049,158,0,,0,,96.4,97.6,296,313,0.0013,0.0125,Honeywell,"Phoenix, AZ",07/04/2010,29/07/2010,Yes,Reference: Honeywell Report 21-14477A,Exhaust Smoke and Gaseous Emissions tests of the AS907-1-1A and AS907-2-1G Turbofan Engines,"Reported using humidity h=0.00634 in accordance with ICAO Annex 16, Vol. II, 3rd Ed., section 7.1.3.","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,
01P18HN013,18,Honeywell,AS907-2-1S (HTF7700L),SABER-1,MTF,4.2,23.3,34.0,C,,,DTEPS,Yes,,,0.05,0.06,0.11,0.95,10,3,2.3,0.4,1.64,2.93,2.7,13.6,77,0.6,0.58,5.72,29.62,10,3,70.7,4.0,64.68,75.93,76.5,64.8,2402,19.4,16.96,9.21,4.01,10,3,46.1,2.3,40.12,47.91,48.9,56.4,70.5,72.1,73,77.7,2.3.2 e),1570,13.6,11.2,1.0,1.8,10,3,13.6,1.6,9,13.6,15,53,Jet A,1.87,1.89,16.9,20.5,0.386,0.319,0.109,0.048,159,0,,0,,96.4,97.6,296,313,0.0013,0.0125,Honeywell,"Phoenix, AZ",07/04/2010,29/07/2010,Yes,Reference: Honeywell Report 21-15565(29)-1 ,Exhaust Smoke and Gaseous Emissions Similarity Analysis for the AS907-2-1S Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P14HN014,14,Honeywell,AS907-3-1E-A1 (HTF7500E),SABER-1,MTF,4.2,21.1,29.4,C,,,DTEPS,Yes,,,0.06,0.07,0.12,1.31,10,3,3.5,0.7,2.55,4.63,4.1,21,104,0.56,0.73,6.83,34.64,10,3,94.1,4.0,88,99.4,101.8,86.3,2786,17.11,15.59,8.45,3.83,10,3,42.9,2.1,37.49,44.6,45.4,55.3,69.2,69.8,70.1,74.1,2.3.2 e),1263,13.6,8.8,0.7,1.7,10,3,13.6,1.6,9,13.6,15,45.2,Jet A,1.87,1.89,16.9,20.5,0.320,0.267,0.097,0.048,147,0,,0,,96.4,97.6,296,313,0.0013,0.0125,Honeywell,"Phoenix, AZ",07/04/2010,29/07/2010,Yes,Reference: Honeywell Report 21-14050(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-3-1E Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P14HN015,14,Honeywell,AS907-3-1E-A2 (HTF7500E),SABER-1,MTF,4.2,22.3,31.6,C,,,DTEPS,Yes,,,0.05,0.06,0.12,1.11,10,3,2.9,0.7,1.91,3.55,3.4,17.1,91,0.55,0.63,6.24,31.03,10,3,80.9,4.5,74.1,86.71,87.5,74.1,2557,18.01,16.22,8.84,3.94,10,3,44.3,2.2,38.67,46.11,46.9,55.5,69.3,70.4,71,75.3,2.3.2 e),1400,13.6,10.6,0.8,1.8,10,3,13.6,1.6,9.2,13.6,15,46.1,Jet A,1.87,1.89,16.9,20.5,0.349,0.289,0.102,0.049,154,0,,0,,96.4,97.6,296,313,0.0013,0.0125,Honeywell,"Phoenix, AZ",07/04/2010,29/07/2010,Yes,Reference: Honeywell Report 21-14050(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-3-1E Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P14HN016,14,Honeywell,AS907-3-1E-A3 (HTF7500E),SABER-1,MTF,4.2,23.6,33.8,C,,,DTEPS,Yes,,,0.05,0.06,0.12,0.84,10,3,2.1,0.5,1.45,2.7,2.5,12.6,72,0.56,0.57,5.7,28.08,10,3,70.5,4.8,63.5,76.52,76.3,64.6,2370,19.06,16.88,9.23,4.04,10,3,45.9,2.3,40.04,47.74,48.7,55.8,69.8,71.3,72.1,76.8,2.3.2 e),1552,13.6,10.6,0.8,1.6,10,3,13.6,1.6,9,13.6,15,47,Jet A,1.87,1.89,16.9,20.5,0.378,0.312,0.108,0.050,161,0,,0,,96.4,97.6,296,313,0.0013,0.0125,Honeywell,"Phoenix, AZ",07/04/2010,29/07/2010,Yes,Reference: Honeywell Report 21-14050(29)-1,Exhaust Smoke and Gaseuos Emissions Similarity Analysis for the AS-907-3-1E Turbofan Engine,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P14IA026,14,International Aero Engines,V2531-E5,Floatwall,MTF,4.5,32.3,134.8,C,,,NME/DTEPS,Yes,,,0.01,0.02,0.09,0.07,4,2,0.2,,,,0.3,1.5,28,0.39,0.41,1.57,10.17,4,2,18.6,,,,21.2,18,2503,32.17,24.28,11.14,5.58,4,2,55.8,,,,61.4,58.7,73.4,85.8,96.7,112.2,2.3.2 d),7521,2.3,6,6.3,1.3,4,2,9.4,,,,11.1,50.9,Jet A,1.91,1.91,17,17,1.329,1.079,0.391,0.144,517,0,,0,,100.4,102.9,268.2,277.7,0.0014,0.00359,Pratt & Whitney,"East Hartford, CT",11/12/2008,19/01/2009,Yes,Engine performance reflects V2531-E5 Turbofan Engine.,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,,
1KK005,1,KKBM,NK-86MA,,MTF,1.1,13.2,130.5,C,,,NME,Yes,,,0.16,0.13,0.3,4.6,7,5,13.5,3.7,8.7,17.1,15.2,77.4,1773,1.55,1.9,5.9,29.8,7,5,94.6,22.5,61.3,113,100.5,85.1,12334,13,9.4,3.9,2.3,4,4,35.5,2.3,32,40.1,37.3,56.2,70.2,93,105.7,140.9,,4633,,,,,10,7,9.9,2.9,6,16,10.5,47.8,TS-1,2,2,18.6,18.6,2.05,1.7,0.6,0.235,821,0,,0,,101.2,102.4,260,298,0.00079,0.02,KKBM,Samara City,18/07/1987,20/01/1990,,NK-86A with modified combustor.,For IL-86 aircraft.,,,,,,
01P11PJ003,11,PowerJet S.A.,SaM146-1S17,,MTF,4.4,21.9,69.2,C,,,NME/DTEPS,Yes,,,0.03,0.04,0.06,1.05,5,2,2.4,,,,3.1,15.8,167,0.26,0.36,5.07,29.36,5,2,69,,,,78.6,66.6,4776,16.37,13.89,7.1,3.73,5,2,38.9,,,,42.8,51.1,63.9,73.7,79.7,91.9,2.3.2 d),2695,12.6,11.7,0.1,0.1,5,2,12.6,,,,14.8,56.5,Jet A-1,1.92,1.92,16.7,17.5,0.791,0.653,0.228,0.097,326,,,,,100.4,101.3,289.2,302.5,0.00619,0.01331,PowerJet S.A.,"Villaroche, France and Rybinsk, Russia",01/07/2009,01/05/2011,Yes,Test engine 146-006/1A and test engine 146-101/3,Certification report CR-037 Rev.1 and CR-037 S1,"Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,
01P11PJ004,11,PowerJet S.A.,SaM146-1S18,,MTF,4.4,22.8,72.7,C,,,NME/DTEPS,Yes,,,0.02,0.04,0.06,0.82,5,2,1.9,,,,2.4,12.4,136,0.3,0.3,4.67,27.55,5,2,63.2,,,,72,61.0,4591,17.36,14.52,7.28,3.82,5,2,40.6,,,,44.6,52.1,65.1,76.8,82.6,95.8,2.3.2 d),2947,12.6,12.1,0.1,0.1,5,2,12.6,,,,14.7,57.1,Jet A-1,1.92,1.92,16.7,17.5,0.841,0.691,0.238,0.100,339,,,,,100.4,101.3,289.2,302.5,0.00619,0.01331,PowerJet S.A.,"Villaroche, France and Rybinsk, Russia",01/07/2009,01/05/2011,Yes,Test engine 146-006/1A and test engine 146-101/3,Certification report CR-037 Rev.1 and CR-037 S1,"Certification in accordance with Part III, Chapter 2, of Amendment 6 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 d) (CAEP/6)",,,,
05P25PW205,25,Pratt & Whitney Canada,PW812D,TALON X,MTF,4.5,34.8,61.6,C,,,NME/DTEPS,Yes,,,0.02,0.03,0.04,0.17,6,3,0.4,0.1,0.3,0.5,0.4,2.2,23,0.04,0.05,2.57,15.63,6,3,29.5,1.1,28.7,30.7,31.9,27.1,1819,21.00,17.22,12.69,5.19,6,3,48.0,1.1,46.7,48.7,50.8,46.4,58.0,62.4,66.0,72.3,2.3.2 e),2954,0,0,0,0,6,3,0,0,0,0,0,0,Jet A-1,1.91,1.91,17.2,18.1,0.660,0.544,0.187,0.070,253,0,All,0,All,99.0,101.6,279.6,300.8,0.0024,0.0138,PW800 Development Engineering,"Longueuil, Quebec, Canada",06/05/2020,31/07/2022,Yes,"Export classification: US EAR: 9E991, Outside US EAR: NSR, EIPA (ECL): NSR.",P&WC ER 9208 Rev. D.,"Engines tested: E5756B01, GD0016B02, GB0005B01.",Smoke Number below limit of detection for smoke number measurement technique.,"Data acquired using procedures & systems prescribed in Annex 16, Vol. II, Amd. 10.",Fuel venting report: P&WC ER9207 Rev. A.,,
05P25PW206,25,Pratt & Whitney Canada,PW812GA,TALON X,MTF,4.5,34.8,61.0,C,,,NME/DTEPS,Yes,,,0.02,0.03,0.04,0.13,6,3,0.3,0.1,0.2,0.4,0.4,1.8,18,0.05,0.04,2.51,14.48,6,3,28.2,1.2,27.2,29.5,30.5,25.9,1722,21.40,17.31,12.68,5.42,6,3,48.3,1.3,46.8,49.2,51.2,46.7,58.4,62.8,66.4,72.6,2.3.2 e),2946,0,0,0,0,6,3,0,0,0,0,0,0,Jet A-1,1.91,1.91,17.2,18.1,0.645,0.529,0.182,0.071,252,0,All,0,All,99.0,101.6,279.6,300.8,0.0024,0.0138,PW800 Development Engineering,"Longueuil, Quebec, Canada",06/05/2020,31/07/2022,Yes,"Export classification: US EAR: 9E991, Outside US EAR: NSR, EIPA (ECL): NSR.",P&WC ER 9208 Rev. B.,"Engines tested: E5756B01, GD0016B02, GB0005B01.",Smoke Number below limit of detection for smoke number measurement technique.,"Data acquired using procedures & systems prescribed in Annex 16, Vol. II, Amd. 10.",Fuel venting report: P&WC ER9207 Rev. A.,,
01P22PW141,22,Pratt & Whitney Canada,PW814GA,TALON X,MTF,5.7,33.6,68.6,C/R,,,NME/DTEPS,Yes,,,0.05,0.04,0.03,0.07,9,5,0.2,0.2,0.0,0.3,0.2,0.8,13,0.01,0.00,2.48,16.67,9,5,27.8,3.5,23.3,31.7,29.5,25.0,1929,22.21,18.01,11.20,5.34,9,5,44.5,2.2,40.8,46.3,46.5,43.4,54.2,59.7,64.1,71.2,2.3.2 e),3061,0.3,0.2,0.2,0.2,9,5,0.3,0.1,0.2,0.5,0.3,1.3,Jet A-1,1.89,1.91,15.6,20.1,0.672,0.556,0.198,0.070,258,0,,0,,99.1,101.7,253,303,0.0005,0.0149,"PW800 Development Engineering, Production","Longueuil & Mirabel, Quebec, Canada",23/06/2014,18/07/2019,Yes,"P&WC ER 7572 Rev. D, includes CO-0003044 and CO-0005972.","Engines tested: 5738B01, GA0008B01, GA0009B01, GA0011B01, GA0020B19.","Export classification: EIPA NSR, DPA No, US-I 9E991, OUS-I NSR.",,,,,
01P22PW142,22,Pratt & Whitney Canada,PW815GA,TALON X,MTF,5.7,34.6,71.2,C/R,,,NME/DTEPS,Yes,,,0.09,0.05,0.03,0.06,9,5,0.2,0.2,0.0,0.5,0.2,1.0,14,0.01,0.00,2.23,15.90,9,5,26.1,3.2,22.0,29.6,27.7,23.5,1870,23.63,18.74,11.24,5.46,9,5,46.1,2.2,42.3,47.8,48.2,44.1,55.1,60.6,65.3,72.6,2.3.2 e),3284,0.3,0.2,0.2,0.2,9,5,0.3,0.1,0.2,0.5,0.3,1.3,Jet A-1,1.89,1.91,15.6,20.1,0.701,0.579,0.204,0.071,266,0,,0,,99.1,101.7,253,303,0.0005,0.0149,"PW800 Development Engineering, Production","Longueuil & Mirabel, Quebec, Canada",23/06/2014,18/07/2019,Yes,"P&WC ER 7572 Rev. D, includes CO-0003044 and CO-0005972.","Engines tested: 5738B01, GA0008B01, GA0009B01, GA0011B01, GA0020B19.","Export classification: EIPA NSR, DPA No, US-I 9E991, OUS-I NSR.",,,,,
01P22PW158,22,Pratt & Whitney,PW1122G-JM,"TALON X, Block-D",TF,12.7,28.8,107.8,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.51,4,1,0.7,,,,1.1,5.4,74,0.32,0.44,5.94,25.91,4,1,33.2,,,,40.7,34.5,3577,18.21,15.39,10.42,5.01,4,1,27.0,,,,31.3,32.1,40.1,48.1,54.7,64.7,2.3.2 e),2912,5.3,3.1,0.3,0.8,4,1,5.3,,,,6.8,29.2,Jet A,1.91,1.93,16.3,16.8,0.710,0.600,0.210,0.080,284,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",Same sea level static thrust rating as the PW1124G-JM engine model.,,,
01P22PW159,22,Pratt & Whitney,PW1124G1-JM,"TALON X, Block-D",TF,12.7,28.8,107.8,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.51,4,1,0.7,,,,1.1,5.4,74,0.32,0.44,5.94,25.91,4,1,33.2,,,,40.7,34.5,3577,18.21,15.39,10.42,5.01,4,1,27.0,,,,31.3,32.1,40.1,48.1,54.7,64.7,2.3.2 e),2912,5.3,3.1,0.3,0.8,4,1,5.3,,,,6.8,29.2,Jet A,1.91,1.93,16.3,16.8,0.710,0.600,0.210,0.080,284,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW160,22,Pratt & Whitney,PW1124G-JM,"TALON X, Block-D",TF,12.7,28.8,107.8,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.51,4,1,0.7,,,,1.1,5.4,74,0.32,0.44,5.94,25.91,4,1,33.2,,,,40.7,34.5,3577,18.21,15.39,10.42,5.01,4,1,27.0,,,,31.3,32.1,40.1,48.1,54.7,64.7,2.3.2 e),2912,5.3,3.1,0.3,0.8,4,1,5.3,,,,6.8,29.2,Jet A,1.91,1.93,16.3,16.8,0.710,0.600,0.210,0.080,284,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW161,22,Pratt & Whitney,PW1127G1-JM,"TALON X, Block-D",TF,12.3,31.7,120.4,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.46,4,1,0.6,,,,0.9,4.5,69,0.27,0.36,4.89,24.53,4,1,28.0,,,,34.4,29.1,3374,20.81,16.95,10.59,5.20,4,1,28.5,,,,33.1,32.0,40.0,47.1,53.1,61.9,2.3.2 e),3438,6.8,4.5,0.3,0.8,4,1,6.8,,,,8.7,38.9,Jet A,1.91,1.93,16.3,16.8,0.800,0.670,0.232,0.080,303,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW162,22,Pratt & Whitney,PW1127GA-JM,"TALON X, Block-D",TF,12.3,31.7,120.4,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.46,4,1,0.6,,,,0.9,4.5,69,0.27,0.36,4.89,24.53,4,1,28.0,,,,34.4,29.1,3374,20.81,16.95,10.59,5.20,4,1,28.5,,,,33.1,32.0,40.0,47.1,53.1,61.9,2.3.2 e),3438,6.8,4.5,0.3,0.8,4,1,6.8,,,,8.7,38.9,Jet A,1.91,1.93,16.3,16.8,0.800,0.670,0.232,0.080,303,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW163,22,Pratt & Whitney,PW1127G-JM,"TALON X, Block-D",TF,12.3,31.7,120.4,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.46,4,1,0.6,,,,0.9,4.5,69,0.27,0.36,4.89,24.53,4,1,28.0,,,,34.4,29.1,3374,20.81,16.95,10.59,5.20,4,1,28.5,,,,33.1,32.0,40.0,47.1,53.1,61.9,2.3.2 e),3438,6.8,4.5,0.3,0.8,4,1,6.8,,,,8.7,38.9,Jet A,1.91,1.93,16.3,16.8,0.800,0.670,0.232,0.080,303,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW164,22,Pratt & Whitney,PW1129G-JM,"TALON X, Block-D",TF,12.0,34.0,130.1,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.42,4,1,0.5,,,,0.8,3.9,65,0.25,0.31,4.07,23.46,4,1,24.6,,,,30.2,25.6,3196,23.36,18.61,10.69,5.38,4,1,30.6,,,,35.4,32.8,41.0,47.2,52.9,60.9,2.3.2 e),3976,7.7,5.6,0.3,0.7,4,1,7.7,,,,10.0,45.3,Jet A,1.91,1.93,16.3,16.8,0.880,0.730,0.255,0.080,318,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",,,,
01P22PW165,22,Pratt & Whitney,PW1130G-JM,"TALON X, Block-D",TF,11.6,38.1,147.3,C,,,DTEPS,Yes,,,0.07,0.07,0.06,0.36,4,1,0.5,,,,0.7,3.7,70,0.24,0.26,2.87,21.55,4,1,24.2,,,,29.7,25.1,3558,28.88,22.01,10.79,5.74,4,1,35.9,,,,41.6,35.8,44.8,50.0,55.4,62.8,2.3.2 e),5284,8.7,7.3,0.3,0.7,4,1,8.7,,,,11.1,52.3,Jet A,1.91,1.93,16.3,16.8,1.023,0.839,0.278,0.099,375,0,,0,,101.5,102.2,279.6,300.80,0.00358,0.01201,Pratt & Whitney,"W. Palm Beach,FL",18/01/2020,21/01/2020,Yes,Data from certification report PWA-12090,1 engine tested,"TALON-X, Block-D combustor","Certification in accordance with ICAO Annex 16 Vol. II. 4th Edition, Part III, Chapter 2.",Same sea level static thrust rating as the PW1133G-JM engine model.,,,
